CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social_Reducao;Data_Deliberacao;Data_Reducao;Valor_Total_Reducao;Quantidade_Acoes_Ordinarias;Quantidade_Acoes_Preferenciais;Quantidade_Total_Acoes;Reducao_Capital_Anterior;Valor_Restituido_Por_Acao;Forma_Restituicao;Razao_Reducao
00.336.701/0001-04;2021-01-01;16;115640;TELEC BRASILEIRAS S.A. TELEBRAS;13678;2013-06-28;2013-06-28;456309531.96;0;0;0;0.000000;0.00000000;Não ocorreu restituição.;Absorção de prejuízos acumulados.
00.359.742/0001-08;2021-01-01;4;113894;FICTOR ALIMENTOS S.A.;13448;2020-04-30;2020-04-30;230611102.03;0;0;0;0.000000;0.00000000;N/A;Redução do capital social da Companhia mediante a absorção dos seus prejuízos acumulados, sem que haja prejuízo no percentual de participação dos acionistas, sem alteração do atual número de ações existentes, não tendo, inclusive, implicação fiscal, muito menos de natureza econômica e financeira.
00.545.378/0001-70;2021-01-01;2;105553;SERRA AZUL WATER PARK SA;12472;2017-01-01;2017-01-01;0.01;0;0;0;0.000001;0.00000000;Não Aplivável;Não houve redução do Capital Social
00.622.416/0001-41;2021-01-01;12;113936;STATKRAFT ENERGIAS RENOVAVEIS S.A.;13457;2010-07-30;2010-07-30;220101170.00;4137240;0;4137240;99.909200;53.20000000;Versão do acervo líquido para controladora Jackson.;Implementação de reestruturação societária dentro do grupo.
00.622.416/0001-41;2021-01-01;12;113936;STATKRAFT ENERGIAS RENOVAVEIS S.A.;13458;2017-12-15;2017-12-15;168947847.94;0;0;0;0.000000;0.00000000;Compensação de prejuízos acumulados.;Compensação de prejuízos acumulados.
00.776.574/0001-56;2021-01-01;15;115623;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;13674;2021-06-10;2021-06-10;2804396764.34;0;0;0;0.000000;0.00000000;;Redução do capital social da Companhia para absorver prejuízos acumulados, sem o cancelamento de ações.
00.776.574/0001-56;2021-01-01;15;115623;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;13675;2022-01-28;2022-01-28;0.00;17500000;0;17500000;1.933947;0.00000000;Sem restituição.;Cancelamento de 17.500.000 ações ordinárias mantidas em tesouraria, no valor total de R$587.870.723,59 contra reserva para novos empreendimentos.
01.545.826/0001-07;2021-01-01;8;114205;GAFISA S.A.;13493;2017-02-20;2017-04-27;219510000.00;28040162;0;28040162;8.009381;8.13000000;Entrega de uma ação ordinária do capital social da Construtora Tenda S.A. para cada uma ação ordinária detida pelo acionista da Companhia pós grupamento, excluídas as ações em tesouraria;O capital foi julgado excessivo, nos termos do Art. 173 da Lei nº 6.404/76
01.545.826/0001-07;2021-01-01;8;114205;GAFISA S.A.;13494;2020-04-30;2020-04-30;2585032921.91;0;0;0;88.338527;0.00000000;Mediante absorção de prejuízos;Absorção de prejuízos
01.971.614/0001-83;2021-01-01;7;114105;EMPRESA NAC COM REDITO PART S.A.ENCORPAR;13473;2017-06-30;2017-06-30;71433212.63;0;0;0;0.000000;0.00000000;Não aplicável.;A Proposta de redução do capital social de R$150.000.000,00 para R$ 78.566.787,37, mediante a absorção do prejuízo acumulado constante das demonstrações financeiras do exercício findo em 31/12/2016, no montante de R$71.433.212,63, sem modificação da quantidade de ações.
02.105.040/0001-23;2021-04-01;3;108918;VIRGO II COMPANHIA DE SECURITIZACAO;12843;2019-11-06;2019-11-06;25385758.59;0;0;0;0.000000;0.00000000;O valor corresponde a restituição do capital seja efetuada em compensação de créditos da Companhia para com os acionistas;
02.105.040/0001-23;2021-12-31;1;100560;VIRGO II COMPANHIA DE SECURITIZACAO;12009;2019-11-06;2019-11-06;25385758.59;0;0;0;0.000000;0.00000000;O valor corresponde a restituição do capital seja efetuada em compensação de créditos da Companhia para com os acionistas;
02.193.750/0001-52;2021-01-01;15;115647;DEXXOS PARTICIPAÇÕES S.A.;13679;2018-12-31;2018-12-31;141898777.13;0;0;0;63.362253;0.00000000;Absorção da conta de prejuízos acumulados;Absorção de saldo existente na conta de prejuízos acumulados
02.387.241/0001-60;2021-01-01;17;115500;RUMO S.A.;13660;2021-04-27;2021-04-27;3507064183.23;0;0;0;21.840000;0.00000000;Não houve valor restituído por ação na redução de capital social aprovada em Assembleia Geral Ordinária e Extraordinária, realizada em 27 de abril de 2021.;As Demonstrações Financeiras de 31 de dezembro de 2020 da Companhia, apresentou prejuízo acumulado total no valor de R$ 3.760,7 milhões valor este que foi objeto da proposta de redução de capital e absorção das reservas de lucros.Em 27 de abril de 2021, por meio da Assembleia Geral Ordinária e Extraordinária, além de outras deliberações, a Administração propôs a absorção da totalidade dos prejuízos acumulados nas demonstrações financeiras de 31 de dezembro 2020, no valor de R$ 3.760,7 milhões, com reserva de lucros de R$ 253,6 milhões e com capital social no valor de R$ 3.507,1 milhões, sem cancelamento de ações.Segundo a Lei das S.A., a cifra do capital social somente pode ser alterada nas hipóteses e com a observância dos procedimentos previstos na legislação e no Estatuto Social. Dentre as hipóteses nas quais se admite a redução da cifra do capital social destaca-se a possibilidade de a assembleia geral decidir pela redução do capital em caso de perda, até o montante dos prejuízos acumulados (Lei das S.A., Art. 173). Como se sabe, a operação de redução de capital social é de natureza estritamente contábil, sendo realizada mediante lançamento contábil que debita o montante reduzido às contas de "reserva de lucros" e de "capital social", creditando-se valor igual à conta "prejuízos acumulados".Neste sentido, foi aprovado pela Assembleia Geral Ordinária e Extraordinária, realizada em 27 de abril de 2021, a compensação da totalidade dos prejuízos acumulados apurados nas DFs 2020, no valor de R$ 3.760.663, com reserva de lucros de R$ 253.599 e com capital social no valor de R$ 3.507.064, sem cancelamento de ações, para a absorção dos prejuízos acumulados, após a dedução do lucro líquido apurado nas DFs 2020.Dessa forma, o capital social da Companhia após a redução realizada, o capital social da Companhia é de R$ 12.547.841.824,28 (doze bilhões, quinhentos e quarenta e sete milhões, oitocentos e quarenta e um mil, oitocentos e vinte e quatro reais e vinte e oito centavos), dividido em 1.854.158.791 (um bilhão, oitocentas e cinquenta e quatro milhões, cento e cinquenta e oito mil e setecentas e noventa e uma) ações ordinárias, todas nominativas, escriturais e sem valor nomina.A redução de capital também visa a reestabelecer a situação de equilíbrio entre o nível de capital e o patrimônio da Companhia.
02.397.080/0001-96;2021-01-01;6;114132;ITAPEBI GERACAO DE ENERGIA S.A.;13478;2007-08-10;2007-10-10;45000000.00;45000000000;0;45000000000;30.000000;1.00000000;A redução ocorreu de forma proporcional à participação de cada acionista no capital social da companhia e pelo valor nominal das ações de R$ 1,00 cada.;Em consonância com a estratégia definida pelo plano financeiro do Grupo Neoenergia, foi aprovada a 3ª emissão de debêntures desta empresa. Os recursos captados com esta emissão foram destinados ao pré-pagamento da 2ª emissão de debêntures. Desta forma, possibilitamos o alongamento de prazos da dívida e redução dos custos.Adicionalmente, embora parte do caixa tenha sido utilizado para a amortização da dívida, ainda havia um excesso do mesmo.Considerando não existir possibilidades de reinvestimento da sobra de caixa na própria usina e, com o objetivo de dar destinação ao mesmo e aproveitar as oportunidades de mercado para alongar o prazo e reduzir o custo, a estratégia utilizada, portanto, foi a de emissão debêntures e redução de capital, o que possibilitou o aumento do índice de liquidez da empresa. Para tal, foi aprovada em Assembléia Geral Extraordinária de 10 de agosto de 2007, que a empresa reduziria seu capital em R$ 45 milhões.
